,province,area_zone,classes,occupation,wage_rate_per_hour
363,Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Skilled labourer including concrete finisher, pipelayer, screedman and jobs requiring similar skills in the heavy construction industry",12.8
364,Manitoba,Outside Winnipeg Area,Part 3: Other workers,Heavy construction sector -General labourer in heavy construction industry not otherwise classified,11.4
365,Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Watcher, flagger and rodman",9.9
366,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Boilermaker,25.8
367,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Bricklayer,26.9
368,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Carpenter,24.5
369,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Concrete finisher,21.15
370,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Construction electrician,28.95
371,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Crane and hoisting equipment operator - Mobile crane operator,24.2
372,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Crane and hoisting equipment operator - Tower crane operator,26.15
373,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Crane and hoisting equipment operator - Boom truck hoist operator,21.0
374,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Glazier,23.4
375,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Industrial mechanic (millwright),26.7
376,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Ironworker - Structural steel erector,26.9
377,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Ironworker - Reinforcing iron (rebar),23.35
378,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Ironworker - Miscellaneous metal worker/ornamental worker,26.49
379,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Lather (interior systems mechanic),22.25
380,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,"Painter, decorator",21.35
381,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Plumber,28.6
382,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Refrigeration and air conditioning mechanic,27.8
383,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Roofer,23.15
384,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Sheet metal worker,29.5
385,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Sprinkler system installer,31.05
386,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 1: Journeypersons,Steamfitter/pipefitter,28.6
387,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Asbestos abatement worker,19.5
388,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Asbestos abatement worker Trainee 2 (1,201 to 2,400 hours)",15.6
389,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Asbestos abatement worker Trainee 1 (0 to 1,200 hours)",11.7
390,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Elevator constructor,30.0
391,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Elevator constructor Trainee 2 (1,201 to 2,400 hours)",24.0
392,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Elevator constructor Trainee 1 (0 to 1,200 hours)",18.0
393,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Floor coverer,22.5
394,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Floor coverer Trainee 2 (1,201 to 2,400 hours)",18.0
395,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Floor coverer Trainee 1 (0 to 1,200 hours)",13.5
396,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Insulator,23.1
397,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Insulator Trainee 2 (1,201 to 2,400 hours)",18.48
398,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Insulator Trainee 1 (0 to 1,200 hours)",13.86
399,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Specialty labourer (assisting bricklayer),19.85
400,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Specialty labourer (assisting bricklayer) Trainee 2 (1,201 to 2,400 hours)",15.88
401,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Specialty labourer (assisting bricklayer) Trainee 1 (0 to 1,200 hours",11.91
402,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,General construction labourer,18.9
403,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- General construction labourer Trainee 2 (1,201 to 2,400 hours)",15.12
404,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- General construction labourer Trainee 1 (0 to 1,200 hours)",11.34
405,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"Marble, tile and terrazzo",21.3
406,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Marble, tile and terrazzo Trainee 2 (1,201 to 2,400 hours)",17.04
407,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Marble, tile and terrazzo Trainee 1 (0 to 1,200 hours)",12.78
408,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Plasterer,22.3
409,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Plasterer Trainee 2 (1,201 to 2,400 hours)",17.84
410,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Plasterer Trainee 1 (0 to 1,200 hours)",13.38
411,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Pre-fabricated metal building erector,24.0
412,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Pre-fabricated metal building erector Trainee 2 (1,201 to 2,400 hours)",19.2
413,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Pre-fabricated metal building erector Trainee 1 (0 to 1,200 hours)",14.4
414,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"Sheeter, decker and cladder",25.95
415,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Sheeter, decker and cladder Trainee 2 (1,201 to 2,400 hours)",20.76
416,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Sheeter, decker and cladder Trainee 1 (0 to 1,200 hours)",15.57
417,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,Scaffolder,24.5
418,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Scaffolder Trainee 2 (1,201 to 2,400 hours)",19.6
419,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 2: Skilled People,"- Scaffolder Trainee 1 (0 to 1,200 hours)",14.7
420,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,Construction worker,12.2
421,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,Heavy construction sector - Mobile crane operator working on heavy construction,17.7
422,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,Heavy construction sector -Heavy duty mechanic or welder working on heavy equipment,16.2
423,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Operator of a dragline, clam shell, shovel, hydraulic excavator, pile driver and other equipment requiring similar skills",16.0
424,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Plant operator, operator of paving machine, dozer, loader, loader backhoe, grader, scraper, hydro excavator, tractor with controlled attachments, and other equipment requiring similar skills",14.25
425,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Truck operator of trucks with four or more axles, fuel truck, distribution truck, truck with hydraulic boom hoist",14.0
426,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Truck operator of trucks with less than four axles and more than 2,500 kgs",13.2
427,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Operator of light trucks (less than 2,500 kgs) ride-on/tractor-pulled compaction equipment and other equipment requiring similar skills",12.4
428,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Skilled labourer including concrete finisher, pipelayer, screedman and jobs requiring similar skills in the heavy construction industry",12.8
429,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,Heavy construction sector - General labourer in heavy construction industry not otherwise classified,11.4
430,Manitoba,"Winnipeg and ""Major Building Construction Projects""",Part 3: Other workers,"Heavy construction sector - Watcher, flagger and rodman",9.9
431,New Brunswick,East Zone,,Electricians,23.42
432,New Brunswick,East Zone,,Plumbers,22.94
433,New Brunswick,East Zone,,"Pipefitters, Steamfitters",29.32
434,New Brunswick,East Zone,,Sheet Metal Workers,21.87
435,New Brunswick,East Zone,,Ironworkers,27.09
436,New Brunswick,East Zone,,Carpenters,17.02
437,New Brunswick,East Zone,,Bricklayers,21.69
438,New Brunswick,East Zone,,Cement Finishers,17.07
439,New Brunswick,East Zone,,"Tilesetters (including terrazo, marble setters)",17.41
440,New Brunswick,East Zone,,"Drywall Installers, Finishers, Lathers and Tapers",18.62
441,New Brunswick,East Zone,,Roofers,19.84
442,New Brunswick,East Zone,,Painters,14.72
443,New Brunswick,East Zone,,Heavy-Duty Equipment Mechanics,18.68
444,New Brunswick,East Zone,,Refrigeration and Air Conditioning Mechanics,21.36
445,New Brunswick,East Zone,,Crane Operators,20.82
446,New Brunswick,East Zone,,Truck Drivers,13.61
447,New Brunswick,East Zone,,"Operators Heavy Equipment (excluding Cranes, Graders, Asphalt Paving)",15.09
448,New Brunswick,East Zone,,Grader Operators,13.24
449,New Brunswick,East Zone,,Pressure Vessel Welder,20.7
450,New Brunswick,East Zone,,Paver and Asphalt Plant Operators,13.29
451,New Brunswick,East Zone,,Traffic Accommodation Person (Flag Persons),9.51
452,New Brunswick,East Zone,,"Trade Helpers, Labourers (excluding Flag persons)",13.05
453,New Brunswick,West Zone,,Electricians,19.43
454,New Brunswick,West Zone,,Plumbers,21.87
455,New Brunswick,West Zone,,"Pipefitters, Steamfitters",30.66
456,New Brunswick,West Zone,,Sheet Metal Workers,16.78
457,New Brunswick,West Zone,,Ironworkers,27.95
458,New Brunswick,West Zone,,Carpenters,16.3
459,New Brunswick,West Zone,,Bricklayers,21.67
460,New Brunswick,West Zone,,Cement Finishers,15.08
461,New Brunswick,West Zone,,"Tilesetters (including terrazo, marble setters)",17.41
462,New Brunswick,West Zone,,"Drywall Installers, Finishers, Lathers and Tapers",18.52
463,New Brunswick,West Zone,,Roofers,19.01
464,New Brunswick,West Zone,,Painters,18.56
465,New Brunswick,West Zone,,Heavy-Duty Equipment Mechanics,16.04
466,New Brunswick,West Zone,,Refrigeration and Air Conditioning Mechanics,20.48
467,New Brunswick,West Zone,,Crane Operators,20.82
468,New Brunswick,West Zone,,Truck Drivers,13.74
469,New Brunswick,West Zone,,"Operators Heavy Equipment (excluding Cranes, Graders, Asphalt Paving)",16.52
470,New Brunswick,West Zone,,Grader Operators,15.35
471,New Brunswick,West Zone,,Paver and Asphalt Plant Operators,14.73
472,New Brunswick,West Zone,,Pressure Vessel Welder,20.44
473,New Brunswick,West Zone,,Traffic Accommodation Person (Flag persons),9.33
474,New Brunswick,West Zone,,"Trade Helpers, Labourers (excluding Flag persons)",12.9
475,Nova Scotia,North/Central/South Zone,,Electricians,20.08
476,Nova Scotia,North/Central/South Zone,,Plumbers,19.06
477,Nova Scotia,North/Central/South Zone,,"Pipefitters, Steamfitters",26.48
478,Nova Scotia,North/Central/South Zone,,Sprinkler System Installers,26.61
479,Nova Scotia,North/Central/South Zone,,Sheet Metal Workers,20.46
480,Nova Scotia,North/Central/South Zone,,Ironworkers,24.65
481,Nova Scotia,North/Central/South Zone,,Carpenters,17.66
482,Nova Scotia,North/Central/South Zone,,Bricklayers,23.08
483,Nova Scotia,North/Central/South Zone,,Cement Finishers,19.91
484,Nova Scotia,North/Central/South Zone,,"Tilesetters (including terrazo, marble setters)",18.72
485,Nova Scotia,North/Central/South Zone,,"Lathers, Interior System Mechanics/Drywall Installers",23.87
486,Nova Scotia,North/Central/South Zone,,"Plasterers, Drywall Finishers and Tapers",21.21
487,Nova Scotia,North/Central/South Zone,,Roofers,18.96
488,Nova Scotia,North/Central/South Zone,,Glaziers,16.78
489,Nova Scotia,North/Central/South Zone,,Painters,14.36
490,Nova Scotia,North/Central/South Zone,,Construction Millwrights,23.12
491,Nova Scotia,North/Central/South Zone,,Heavy-Duty Equipment Mechanics,18.26
492,Nova Scotia,North/Central/South Zone,,Refrigeration and Air Conditioning Mechanics,20.56
493,Nova Scotia,North/Central/South Zone,,Crane Operators,22.07
494,Nova Scotia,North/Central/South Zone,,Straight Truck Drivers,13.18
495,Nova Scotia,North/Central/South Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,13.6
496,Nova Scotia,North/Central/South Zone,,"Operators Heavy Equipment (ex. Cranes, Graders, Asphalt Paving)",16.02
497,Nova Scotia,North/Central/South Zone,,Grader Operators,15.86
498,Nova Scotia,North/Central/South Zone,,Paver and Asphalt Plant Operators,14.93
499,Nova Scotia,North/Central/South Zone,,Packer (Road-Roller) Operators,12.73
500,Nova Scotia,North/Central/South Zone,,Traffic Accommodation Person (Flagperson),10.57
501,Nova Scotia,North/Central/South Zone,,Form Setters,16.31
502,Nova Scotia,North/Central/South Zone,,Asphalt Layers (by hand - includes rakers),15.53
503,Nova Scotia,North/Central/South Zone,,"Trade Helpers, Labourers (excluding Asphalt Layers, Flagperson, Formsetter)",14.5
504,Nova Scotia,Halifax Zone,,Electricians,24.46
505,Nova Scotia,Halifax Zone,,Plumbers,24.5
506,Nova Scotia,Halifax Zone,,"Pipefitters, Steamfitters",27.31
507,Nova Scotia,Halifax Zone,,Sprinkler System Installers,26.61
508,Nova Scotia,Halifax Zone,,Sheet Metal Workers,23.58
509,Nova Scotia,Halifax Zone,,Ironworkers,24.65
510,Nova Scotia,Halifax Zone,,Carpenters,22.35
511,Nova Scotia,Halifax Zone,,Bricklayers,23.05
512,Nova Scotia,Halifax Zone,,Cement Finishers,18.56
513,Nova Scotia,Halifax Zone,,"Tilesetters (including terrazo, marble setters)",19.19
514,Nova Scotia,Halifax Zone,,"Lathers, Interior System Mechanics/Drywall Installers",23.87
515,Nova Scotia,Halifax Zone,,"Plasterers, Drywall Finishers and Tapers",22.8
516,Nova Scotia,Halifax Zone,,Roofers,18.68
517,Nova Scotia,Halifax Zone,,Glaziers,16.09
518,Nova Scotia,Halifax Zone,,Insulators,25.03
519,Nova Scotia,Halifax Zone,,Painters,16.99
520,Nova Scotia,Halifax Zone,,Construction Millwrights,23.86
521,Nova Scotia,Halifax Zone,,Heavy-Duty Equipment Mechanics,21.18
522,Nova Scotia,Halifax Zone,,Refrigeration and Air Conditioning Mechanics,27.29
523,Nova Scotia,Halifax Zone,,Crane Operators,22.07
524,Nova Scotia,Halifax Zone,,Straight Truck Drivers,15.48
525,Nova Scotia,Halifax Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,16.43
526,Nova Scotia,Halifax Zone,,"Operators Heavy Equipment (ex. Cranes, Graders, Asphalt Paving)",18.18
527,Nova Scotia,Halifax Zone,,Grader Operators,16.51
528,Nova Scotia,Halifax Zone,,Paver and Asphalt Plant Operators,15.76
529,Nova Scotia,Halifax Zone,,Packer (Road-Roller) Operators,14.74
530,Nova Scotia,Halifax Zone,,Traffic Accommodation Person (Flagperson),9.59
531,Nova Scotia,Halifax Zone,,Form Setters,15.77
532,Nova Scotia,Halifax Zone,,Asphalt Layers (by hand - includes rakers),15.53
533,Nova Scotia,Halifax Zone,,"Trade Helpers, Labourers (ex. Asphalt Layers, Flagpersons, Form setter)",15.65
534,Nova Scotia,Cape Breton Zone,,Electricians,22.98
535,Nova Scotia,Cape Breton Zone,,Plumbers,22.96
536,Nova Scotia,Cape Breton Zone,,"Pipefitters, Steamfitters",26.48
537,Nova Scotia,Cape Breton Zone,,Sprinkler System Installer,26.61
538,Nova Scotia,Cape Breton Zone,,Sheet Metal Workers,23.66
539,Nova Scotia,Cape Breton Zone,,Ironworkers,24.65
540,Nova Scotia,Cape Breton Zone,,Carpenters,24.43
541,Nova Scotia,Cape Breton Zone,,Bricklayers,24.47
542,Nova Scotia,Cape Breton Zone,,Cement Finishers,19.09
543,Nova Scotia,Cape Breton Zone,,"Tilesetters (including terrazo, marble setters)",18.72
544,Nova Scotia,Cape Breton Zone,,"Lathers, Interior System Mechanics/Drywall Installers",23.87
545,Nova Scotia,Cape Breton Zone,,"Plasterers, Drywall Finishers and Tapers",21.21
546,Nova Scotia,Cape Breton Zone,,Roofers,18.96
547,Nova Scotia,Cape Breton Zone,,Glaziers,16.78
548,Nova Scotia,Cape Breton Zone,,Painters,22.21
549,Nova Scotia,Cape Breton Zone,,Construction Millwrights,23.12
550,Nova Scotia,Cape Breton Zone,,Heavy-Duty Equipment Mechanics,17.26
551,Nova Scotia,Cape Breton Zone,,Refrigeration and Air Conditioning Mechanics,26.31
552,Nova Scotia,Cape Breton Zone,,Crane Operators,22.07
553,Nova Scotia,Cape Breton Zone,,Straight Truck Drivers,17.62
554,Nova Scotia,Cape Breton Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,15.57
555,Nova Scotia,Cape Breton Zone,,"Operators Heavy Equip. (excludes Cranes, Graders, Asphalt Paving)",22.19
556,Nova Scotia,Cape Breton Zone,,Grader Operators,16.51
557,Nova Scotia,Cape Breton Zone,,Paver and Asphalt Plant Operators,15.76
558,Nova Scotia,Cape Breton Zone,,Packer (Road-Roller) Operators,17.17
559,Nova Scotia,Cape Breton Zone,,Traffic Accommodation Person (Flagperson),12.7
560,Nova Scotia,Cape Breton Zone,,Form Setters,16.35
561,Nova Scotia,Cape Breton Zone,,Asphalt Layers (by hand - includes rakers),15.53
562,Nova Scotia,Cape Breton Zone,,"Trade Helpers, Labourers (ex. Asphalt Layers, Flag persons, Form setter)",19.87
563,Nunavut,,,Electricians,32.4
564,Nunavut,,,Plumbers,29.1
565,Nunavut,,,Carpenters,28.5
566,Nunavut,,,Heavy-Duty Equipment Mechanics,30.7
567,Nunavut,,,"Heavy Equipment Operators (excluding Cranes, Graders and Asphalt and Paving Machines)",26.0
568,Nunavut,,,"Helpers, Labourers (excluding Traffic Accommodation Persons)",20.5
569,Ontario ,Northeast / Northwest Zone,,Electricians,35.22
570,Ontario ,Northeast / Northwest Zone,,Plumbers,32.3
571,Ontario ,Northeast / Northwest Zone,,Sprinkler System Installers,36.14
572,Ontario ,Northeast / Northwest Zone,," Pipefitters, Steamfitters",31.28
573,Ontario ,Northeast / Northwest Zone,,Sheet Metal Workers,31.7
574,Ontario ,Northeast / Northwest Zone,,Boilermakers,33.26
575,Ontario ,Northeast / Northwest Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],29.93
576,Ontario ,Northeast / Northwest Zone,,Reinforcing Ironworkers (rebar/rodman),32.22
577,Ontario ,Northeast / Northwest Zone,,Carpenters,27.35
578,Ontario ,Northeast / Northwest Zone,,Bricklayers,29.8
579,Ontario ,Northeast / Northwest Zone,,Cement Finishers,23.23
580,Ontario ,Northeast / Northwest Zone,,"Tilesetters (including terrazo, marble setters)",31.65
581,Ontario ,Northeast / Northwest Zone,,Plasterers and Drywall Tapers,28.47
582,Ontario ,Northeast / Northwest Zone,,"Drywall Installers, and Finishers and Lathers",29.95
583,Ontario ,Northeast / Northwest Zone,,Interior System Mechanics (including Steel Stud),32.38
584,Ontario ,Northeast / Northwest Zone,,Roofers,19.58
585,Ontario ,Northeast / Northwest Zone,,Glaziers,29.2
586,Ontario ,Northeast / Northwest Zone,,Insulators,30.76
587,Ontario ,Northeast / Northwest Zone,,Painters,19.12
588,Ontario ,Northeast / Northwest Zone,,Flooring Installers,30.22
589,Ontario ,Northeast / Northwest Zone,,Construction Millwrights,32.82
590,Ontario ,Northeast / Northwest Zone,,Heavy-Duty Equipment Mechanics,22.29
591,Ontario ,Northeast / Northwest Zone,,Refrigeration and Air Conditioning Mechanics,33.19
592,Ontario ,Northeast / Northwest Zone,,Elevator Constructors,43.53
593,Ontario ,Northeast / Northwest Zone,,Mobile Crane Operators,31.9
594,Ontario ,Northeast / Northwest Zone,,Tower Crane Operators,34.78
595,Ontario ,Northeast / Northwest Zone,,Straight Truck Drivers,19.52
596,Ontario ,Northeast / Northwest Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,19.59
597,Ontario ,Northeast / Northwest Zone,,"Operators - Heavy Equipment (ex. Cranes, Graders)",22.27
598,Ontario ,Northeast / Northwest Zone,,Grader Operators,22.62
599,Ontario ,Northeast / Northwest Zone,,Asphalt Plant Operators,17.2
600,Ontario ,Northeast / Northwest Zone,,Scraper Operators,29.16
601,Ontario ,Northeast / Northwest Zone,,Packer (road-roller) Operators,17.95
602,Ontario ,Northeast / Northwest Zone,,Pressure Vessel Welders,33.14
603,Ontario ,Northeast / Northwest Zone,,Traffic Accommodation/Control Persons,13.73
604,Ontario ,Northeast / Northwest Zone,,Labourers (Except Traffic Accommodation/Control Persons),18.68
605,Ontario ,Kingston / Muskoka Zone,,Electricians,33.22
606,Ontario ,Kingston / Muskoka Zone,,Plumbers,31.64
607,Ontario ,Kingston / Muskoka Zone,,Sprinkler System Installers,36.14
608,Ontario ,Kingston / Muskoka Zone,," Pipefitters, Steamfitters",31.28
609,Ontario ,Kingston / Muskoka Zone,,Sheet Metal Workers,28.64
610,Ontario ,Kingston / Muskoka Zone,,Boilermakers,33.26
611,Ontario ,Kingston / Muskoka Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],29.93
612,Ontario ,Kingston / Muskoka Zone,,Reinforcing Ironworkers (rebar/rodman),32.37
613,Ontario ,Kingston / Muskoka Zone,,Carpenters,21.01
614,Ontario ,Kingston / Muskoka Zone,,Bricklayers,29.78
615,Ontario ,Kingston / Muskoka Zone,,Cement Finishers,19.51
616,Ontario ,Kingston / Muskoka Zone,,"Tilesetters (including terrazo, marble setters)",27.26
617,Ontario ,Kingston / Muskoka Zone,,Plasterers and Drywall Tapers,31.33
618,Ontario ,Kingston / Muskoka Zone,,"Drywall Installers, and Finishers and Lathers",29.04
619,Ontario ,Kingston / Muskoka Zone,,Interior System Mechanics (including Steel Stud),28.78
620,Ontario ,Kingston / Muskoka Zone,,Roofers,20.55
621,Ontario ,Kingston / Muskoka Zone,,Glaziers,29.2
622,Ontario ,Kingston / Muskoka Zone,,Insulators,30.63
623,Ontario ,Kingston / Muskoka Zone,,Painters,23.34
624,Ontario ,Kingston / Muskoka Zone,,Flooring Installers,30.22
625,Ontario ,Kingston / Muskoka Zone,,Construction Millwrights,34.6
626,Ontario ,Kingston / Muskoka Zone,,Heavy-Duty Equipment Mechanics,23.04
627,Ontario ,Kingston / Muskoka Zone,,Refrigeration and Air Conditioning Mechanics,28.91
628,Ontario ,Kingston / Muskoka Zone,,Elevator Constructors,43.53
629,Ontario ,Kingston / Muskoka Zone,,Mobile Crane Operators,33.82
630,Ontario ,Kingston / Muskoka Zone,,Tower Crane Operators,34.78
631,Ontario ,Kingston / Muskoka Zone,,Straight Truck Drivers,18.62
632,Ontario ,Kingston / Muskoka Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,19.21
633,Ontario ,Kingston / Muskoka Zone,,"Operators - Heavy Equipment (ex. Cranes, Graders)",21.66
634,Ontario ,Kingston / Muskoka Zone,,Grader Operators,23.84
635,Ontario ,Kingston / Muskoka Zone,,Asphalt Plant Operators,21.93
636,Ontario ,Kingston / Muskoka Zone,,Scraper Operators,29.16
637,Ontario ,Kingston / Muskoka Zone,,Packer (road-roller) Operators,16.25
638,Ontario ,Kingston / Muskoka Zone,,Pressure Vessel Welders,35.82
639,Ontario ,Kingston / Muskoka Zone,,Traffic Accommodation/Control Persons,15.25
640,Ontario ,Kingston / Muskoka Zone,,Labourers (Except Traffic Accommodation/Control Persons),17.45
641,Ontario ,Ottawa Zone,,Electricians,33.19
642,Ontario ,Ottawa Zone,,Plumbers,30.99
643,Ontario ,Ottawa Zone,,Sprinkler System Installers,36.14
644,Ontario ,Ottawa Zone,,"Pipefitters, Steamfitters",34.57
645,Ontario ,Ottawa Zone,,Sheet Metal Workers,31.06
646,Ontario ,Ottawa Zone,,Boilermakers,33.26
647,Ontario ,Ottawa Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],30.17
648,Ontario ,Ottawa Zone,,Reinforcing Ironworkers (rebar/rodman),29.5
649,Ontario ,Ottawa Zone,,Carpenters,24.43
650,Ontario ,Ottawa Zone,,Bricklayers,32.15
651,Ontario ,Ottawa Zone,,Cement Finishers,26.98
652,Ontario ,Ottawa Zone,,"Tilesetters (including terrazo, marble setters)",31.65
653,Ontario ,Ottawa Zone,,Plasterers and Drywall Tapers,29.19
654,Ontario ,Ottawa Zone,,"Drywall Installers, Finishers and Lathers",31.67
655,Ontario ,Ottawa Zone,,Interior System Mechanics (including Steel Stud),32.38
656,Ontario ,Ottawa Zone,,Roofers,21.5
657,Ontario ,Ottawa Zone,,Glaziers,29.2
658,Ontario ,Ottawa Zone,,Insulators,32.35
659,Ontario ,Ottawa Zone,,Painters,18.44
660,Ontario ,Ottawa Zone,,Flooring Installers,30.22
661,Ontario ,Ottawa Zone,,Construction Millwrights,34.6
662,Ontario ,Ottawa Zone,,Heavy-Duty Equipment Mechanics,23.29
663,Ontario ,Ottawa Zone,,Refrigeration and Air Conditioning Mechanics,36.65
664,Ontario ,Ottawa Zone,,Elevator Constructors,43.53
665,Ontario ,Ottawa Zone,,Mobile Crane Operators,33.82
666,Ontario ,Ottawa Zone,,Tower Crane Operators,34.78
667,Ontario ,Ottawa Zone,,Straight Truck Drivers,19.45
668,Ontario ,Ottawa Zone,,Road Tractor Drivers for Semi-Trailers and Trailers,19.57
669,Ontario ,Ottawa Zone,,"Operators - Heavy Equipment (ex. Cranes, Graders)",22.1
670,Ontario ,Ottawa Zone,,Grader Operators,27.47
671,Ontario ,Ottawa Zone,,Asphalt Plant Operators,22.01
672,Ontario ,Ottawa Zone,,Scraper Operators,29.16
673,Ontario ,Ottawa Zone,,Packer (road-roller) Operators,18.06
674,Ontario ,Ottawa Zone,,Pressure Vessel Welders,33.61
675,Ontario ,Ottawa Zone,,Traffic Accommodation/Control Persons,15.54
676,Ontario ,Ottawa Zone,,Labourers (Except Traffic Accommodation/Control Persons),19.29
677,Ontario ,Toronto Zone,,Electricians,35.19
678,Ontario ,Toronto Zone,,Plumbers,36.84
679,Ontario ,Toronto Zone,,Sprinkler System Installers,36.99
680,Ontario ,Toronto Zone,,"Pipefitters, Steamfitters",21.56
681,Ontario ,Toronto Zone,,Sheet Metal Workers,32.0
682,Ontario ,Toronto Zone,,Boilermakers,33.26
683,Ontario ,Toronto Zone,,Ironworkers [except Reinforcing Ironworker (Rebar/Rodman)],31.82
684,Ontario ,Toronto Zone,,Reinforcing Ironworkers (rebar/rodman),32.77
